1,Item,Page 17-18,Categories,Sub-Categories,Group Item,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
204,CM7691CK-BED,19,Bedroom,Beds,Y,"CM7691CK-HB, CM7691CK-FB, CM7691CK-R",Cal.King Bed,Furniture of America Baddock Transitional Cal.King Bed,,3,0,0,0,15.1,143,"90 1/4""L X 80""W X 53""H",Transitional,"Solid Wood, Wood Veneer & Others",,,Cal.King,Baddock,CM7691.jpg,Antique Oak,Transitional Style,Tall Carved Panel Headboard,Felt-Lined Top Drawers,Rustic Grain Design,English Dovetail Drawer Construction,Solid Wood/Wood Veneer/Others,Antique Oak Finish,,,,"With a soft antique oak finish, this stunning bed set is finely crafted with smooth carved wood detailing. Pair the tall panel headboard with the matching standard footboard .Simple bar handles enhance the neutral tones of this set. - -"
219,CM7692CK-BED,19,Bedroom,Beds,Y,"CM7692CK-HB, CM7692CK-FB, CM7692CK-R",Cal.King Bed,Furniture of America Baddock Transitional Cal.King Bed,,3,0,0,0,32.4,200.2,"90 1/4""L X 80""W X 53""H",Transitional,"Solid Wood, Wood Veneer & Others",,,Cal.King,Baddock,CM7692.jpg,Antique Oak,Transitional Style,Tall Carved Panel Headboard,Felt-Lined Top Drawers,Rustic Grain Design,English Dovetail Drawer Construction,Solid Wood/Wood Veneer/Others,Antique Oak Finish,,,,"With a soft antique oak finish, this stunning bed set is finely crafted with smooth carved wood detailing. Pair the tall panel headboard with the matching standard footboard or opt for additional storage space with the double-drawer footboard alterna tive. Simple bar handles enhance the neutral tones of this set. -"
235,CM7624CK-BED,20,Bedroom,Beds,Y,"CM7624CK-HB, CM7624CK-FB, CM7624CK-R",Cal.King Bed,Furniture of America AMARANTE Rustic Cal.King Bed,,3,0,0,0,16.6,194,"90 1/8""L X 78 1/4""W X 50""H",Rustic,,,,Cal.King,AMARANTE,CM7624.jpg,Rustic Natural Tone,Transitional Style,Low Profi le Bed w/ Flat Wood Panel Headboard,Felt-lined Top Drawers,Slat Kit Included,"Solid Wood, Wood Veneer, Others",Rustic Natural Tone Finish,,,,,"Never out of style, this set is an unusual combination that pairs two different wood frameworks together. The matching storage pieces make it easy to find a place to store items away neatly. The warm tones will surely cozy up any room while the low p rofile design provides easy access to relaxation time. -"
247,CM7627CK-BED,20,Bedroom,Beds,Y,"CM7627CK-HB, CM7627CK-FB, CM7627CK-R",Cal.King Bed,Furniture of America AVEIRO Rustic Cal.King Bed,,3,0,0,0,19.7,191.51,"90 1/2""L X 75 7/8""W X 56""H",Rustic,,,,Cal.King,AVEIRO,CM7627.jpg,Rustic Natural Tone,Transitional Style,Platform Bed,Plank Style Headboard & Footboard,Square Wooden Drawer Pulls,Double Drawer Fronts for Night Stand Bottom Drawer,Slat Kit Included,"Solid Wood, Wood Veneer, Others",Rustic Natural Tone Finish,,,"This weathered bedroom set is an attention-grabbing centerpiece for your bedroom decor. A high-profile head and low-sitting base structure with natural wood grain patterns create a comfortable appeal. Paired with warm case goods, this collection is a  wonderful addition to a rustic yet modern setting. -"
261,CM7628CK-BED,21,Bedroom,Beds,Y,"CM7628CK-HB, CM7628CK-FB, CM7628CK-R",Cal.King Bed,Furniture of America JANEIRO Rustic Cal.King Bed,,3,0,0,0,33.9,269.5,"101""L X 91""W X 30""H",Rustic,,,,Cal.King,JANEIRO,CM7628.jpg,Rustic Natural Tone,Transitional Style,Low Profile Bed w/ Modern Low H/B Design,2 Footboard Styles Available,Felt-lined Top Drawers w/ Square Wooden Pulls,Double Drawer Fronts for Night Stand Bottom Drawer,Slat Kit Included,"Solid Wood, Wood Veneer, Others",Rustic Natural Tone Finish,,,"Visually appealing with urban undertones, this wooden collection is perfect for open spaces such as lofts. A low-profile head and base design with natural wood grain patterns create a comfortable appeal. The case goods include wooden block-like pulls  that are sure to coordinate well with diverse interior designs. -"
276,CM7629CK-BED,21,Bedroom,Beds,Y,"CM7629CK-HB, CM7629CK-FB, CM7629CK-R",Cal.King Bed,Furniture of America JANEIRO Rustic Cal.King Bed,,3,0,0,0,46.4,295.9,"101""L X 91""W X 30""H",Rustic,,,,Cal.King,JANEIRO,CM7629.jpg,Rustic Natural Tone,Transitional Style,Low Profile Bed w/ Modern Low H/B Design,6 Footboard Styles Available,Felt-lined Top Drawers w/ Square Wooden Pulls,Double Drawer Fronts for Night Stand Bottom Drawer,Slat Kit Included,"Solid Wood, Wood Veneer, Others",Rustic Natural Tone Finish,,,"Visually appealing with urban undertones, this wooden collection is perfect for open spaces such as lofts. A low-profile head and base design with natural wood grain patterns create a comfortable appeal, with drawers on the footboard for practical st orage. The case goods include wooden block-like pulls that are sure to coordinate well with diverse interior designs. -"
288,CM7623CK-BED,22,Bedroom,Beds,Y,"CM7623CK-HB, CM7623CK-FB, CM7623CK-R",Cal.King Bed,Furniture of America COIMBRA Rustic Cal.King Bed,,3,0,0,0,25.2,225.28,"96""L X 85""W X 42""H",Rustic,,,,Cal.King,COIMBRA,CM7623.jpg,Rustic Natural Tone,Transitional Style,Low Profi le Bed w/ Plank Panel Headboard,Felt-lined Top Drawers w/ Thick Wooden Handles,Slat Kit Included,"Solid Wood, Wood Veneer, Others",Rustic Natural Tone Finish,,,,,"This transitional collection will be the perfect addition to any home looking to revamp their interior decor. The low profile bed features a plank style headboard to enhance the wooden construction while all items feature a flat sturdy base with dark er toned paneling, creating a unifying visual. -"
307,CM7556CK-BED,24,Bedroom,Beds,Y,"CM7556CK-HB, CM7556CK-FB, CM7556CK-R",Cal.King Bed,Furniture of America DAPHNE Transitional Cal.King Bed,,3,0,0,0,17,154.28,"91 3/4""L X 81 1/4""W X 58""H",Transitional,,,,Cal.King,DAPHNE,CM7556.jpg,Gray,Transitional Style,Padded Fabric Headboard,Built-in Touch Light in Headboard,Hidden Drawer in Night Stand and Dresser,Double Drawer Fronts,Felt-lined Top Drawers,"Solid Wood, Wood Veneer, Others*",Gray Finish,,,"In addition to stunning carved details and felt-lined top drawers, this transitional style bedroom collection comes with built-in headboard shelves and convenient touch lights. An extra drawer hides within the nightstand and dresser while the chest o ffers extra functionality with its lift-top jewelry storage, complete with mirror. Sleek silver tone handles sparkle against the weathered gray finish for a beautifully contemporary design that will beautify any bedroom.  -"
323,CM7557CK-BED,25,Bedroom,Beds,Y,"CM7557CK-HBFB, CM7557CK-R, CM7557CK-DR",Cal.King Bed,Furniture of America NIKOMEDES Contemporary Cal.King Bed,,3,0,0,0,32.5,249.12,"92 3/8""L X 78 5/8""W X 52 5/8""H",Contemporary,,,,Cal.King,NIKOMEDES,CM7557.jpg,Espresso,Contemporary Style,Bookcase Headboard,2 Drawers in Footboard,English Dovetail Drawer Construction,Felt-lined Top Drawers,Wood Veneer & Others*,Espresso Finish,,,,"With geometric designs and a rich espresso finish, this bedroom set creates a warm and inviting ambience. Store away blankets or clothes inside the footboard drawers and display pictures or organize books on the handy bookcase headboard. Top drawers  on casegoods are lined with felt for storing delicate valuables. -"
339,CM7673CK-BED,26,Bedroom,Beds,Y,"CM7673CK-HB, CM7673CK-FB, CM7673CK-R",Cal.King Bed,Furniture of America Salamanca Contemporary Cal.King Bed,,3,0,0,0,25,192.04,"94""L X 82 3/8""W X 65""H",Contemporary,"Mirror, Solid Wood, Wood Veneer & Others",,,Cal.King,Salamanca,CM7673.jpg,Champagne,Contemporary Style,3mm Mirror Panel Accents,Crystal-like Acrylic Drawer Pulls,Turned Legs,Solid Wood/Wood Veneer/Others,Silver Finish,,,,,"Out with the old and in with the new, this silver finished set is unlike any other! With 3mm mirrored panel accents, this set is an elegant choice for a glamorous setting. Each piece is adorned with geometric style wooden trim that emphasizes the sil ver backdrop. -"
355,CM7585CK-BED,27,Bedroom,Beds,Y,"CM7585CK-HB, CM7585CK-FB, CM7585CK-R",Cal.King Bed,Furniture of America Zaragoza Rustic Cal.King Bed,,3,0,0,0,17.4,197.84,"90 1/2""L X 75 3/4""W X 54""H",Rustic,"Mirror, Solid Wood, Wood Veneer & Others",,,Cal.King,Zaragoza,CM7585.jpg,Rustic Natural Tone,Contemporary Style,Felt-Lined Top Drawers,Rustic Natural Tone Finish,Interlocking Circle Mirror Accents,Full Extension Metal Glides,Solid Wood/Wood Veneer/Others,,,,,"Let this bedroom set reflect the same up-to-date sense of style you possess! The sleek lines bring out the best features of the wood craftsmanship, which comes finished in beautiful natural tone. Mirror panels decorated with interlocking circle accen ts add a modern, unique extra dimension to your headboard as well as the matching case goods. -"
375,CM7586CK-BED,27,Bedroom,Beds,Y,"CM7586CK-HB, CM7586CK-FB, CM7586CK-R",Cal.King Bed,Furniture of America Frontera Transitional Cal.King Bed,,3,0,0,0,17.7,164.7,"90 1/2""L X 76 1/2""W X 56""H",Transitional,"Mirror, Solid Wood, Wood Veneer & Others",,,Cal.King,Frontera,CM7586.jpg,Rustic Oak,Transitional Style,Felt-Lined Top Drawers,Tapered legs,Rustic Oak Finish,5mm Clear Glass Accents,Ring Pulls on Dresser & Chest,Solid Wood/Wood Veneer/Others,,,,"Beautifully geometric and reflective, this bedroom collection is perfect for updating your sleeping environment! Mirrored glass accents adorn the headboard panel and beautifully accent the case good - -"
395,CM7195CK-BED,28,Bedroom,Beds,Y,"CM7195CK-HB, CM7195CK-FB, CM7195CK-R",Cal.King Bed,Furniture of America LORAINE Glam Cal.King Bed,,3,0,0,0,28.3,289.52,"92""L X 80 1/4""W X 68""H",Glam,"Solid Wood, Wood Veneer & Others",,,Cal.King,LORAINE,CM7195.jpg,Champagne,,,,,,,,,,,
412,CM7101CK-BED,29,Bedroom,Beds,Y,"CM7101CK-HB, CM7101CK-FB, CM7101CK-R",Cal.King Bed,Furniture of America BRIELLA Glam Cal.King Bed,,3,0,0,0,15.5,127.6,"89""L X 79 3/8""W X 60""H",Glam,,"52.39% PVC Resin Powder, 27.33% Diisonony Phthalate, 7.26% Calcoium Carbonate, 7.26% AC Blowing agent, 2.6% Polyester, 3.16% Others",,Cal.King,BRIELLA,CM7101.jpg,Silver,Platform Bed w/ Button Tufted Fabric Headboard,Felt-lined Top Drawers,Sandblasted Front Panels on Lower Drawers,Mirror Front Panels on Top Drawers,"Solid Wood, Wood Veneer, Others",Silver Finish,,,,,"This platform style bed features a padded faux leather headboard adorned with beautiful button-tufted accents and top panel mirror inserts. The low profile footboard, as well as the drawer fronts, feature sandblasted panels. Coordinating case goods c omplete with top panel mirror inserts are equipped with easy pull metal glides and gorgeous crystal-like drawer pull handles. -"
429,CM7282CK-BED,30,Bedroom,Beds,Y,"CM7282CK-HB, CM7282CK-FB, CM7282CK-R",Cal.King Bed,Furniture of America ADELINE Contemporary Cal.King Bed,,3,0,0,0,15.6,111.32,"94""L X 78""W X 54""H",Contemporary,"Solid Wood, Wood Veneer & Others",,,Cal.King,ADELINE,CM7282.jpg,Silver,,,,,,,,,,,
450,CM7295CK-BED,31,Bedroom,Beds,Y,"CM7295CK-HB/FB, CM7295CK-R",Cal.King Bed,Furniture of America Golva Contemporary Cal.King Bed,,2,0,0,0,17,153.1,"95""L X 79 1/2""W X 58 1/4""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,Golva,CM7295.jpg,Black,Contemporary Style,Pewter Padded Leatherette H/B,Gold-Tinted Mirror in Drawer Panels,"Solid Wood, Wood Veneer & Others",Black Finish,,,,,,Luxury and contemporary collides in this spectacular bedroom set. The padded leatherette headboard is in pewter and the matching case goods feature gold-tinted mirror front panels that give the illusion of depth. The result is a much roomier and more  welcoming space. -
463,CM7295SV-CK-BED,31,Bedroom,Beds,Y,"CM7295SV-CK-HB/FB, CM7295SV-CK-R",Cal.King Bed,Furniture of America GOLVA Contemporary Cal.King Bed,VN,2,0,0,0,17,153.1,"95""L X 79 1/2""W X 58 1/4""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,GOLVA,CM7295SV.jpg,Silver,Contemporary Style,Regular Footboard,Gold-tinted Mirror in Drawer Panels,Full Extension Drawers,Felt-lined Top Drawers,"Solid Wood, Wood Veneer & Others",Two Finishes Available,,,,Lavish design crafted with a sleek tall headboard and padded headboard with intricate tufting. The sleek design of this bed is available in two colors perfect to vitalize any contemporary style bedroom décor! - -
508,CM7288CK-BED,33,Bedroom,Beds,Y,"CM7288CK-HB, CM7288CK-FB, CM7288CK-R",Cal.King Bed,Furniture of America BRYANT Contemporary Cal.King Bed,VN,3,0,0,0,20,146.3,"94 3/4""L X 80 3/4""W X 59 1/4""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,BRYANT,CM7288.jpg,Black,Modern Style,Platform Bed,Button Tufted Detailing,Padded Leatherette Headboard,"Solid Wood, Wood Veneer & Others",2 Colors Available,,,,,The sleek elegant lines accented with eye-catching button-tufted leatherette details bring about a very classy bedroom set. Crocodile skin leatherette adorn the front panels of the matching case goods with beautiful mirror accents. Bryant is a manife station of class and style combined. -
524,CM7288SV-CK-BED,33,Bedroom,Beds,Y,"CM7288SV-CK-HB, CM7288SV-CK-FB, CM7288SV-CK-R",Cal.King Bed,Furniture of America BRYANT Contemporary Cal.King Bed,,3,0,0,0,20,146.35,"94 3/4""L X 80 3/4""W X 59 1/4""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,BRYANT,CM7288SV.jpg,Silver,Modern Style,Platform Bed,Button Tufted Detailing,Padded Leatherette Headboard,"Solid Wood, Wood Veneer & Others",2 Colors Available,,,,,The sleek elegant lines accented with eye-catching button-tufted leatherette details bring about a very classy bedroom set. Crocodile skin leatherette adorn the front panels of the matching case goods with beautiful mirror accents. Bryant is a manife station of class and style combined. -
542,CM7979BK-CK-BED,34,Bedroom,Beds,Y,"CM7979BK-CK-HB, CM7979BK-CK-FB, CM7979BK-CK-R",Cal.King Bed,Furniture of America BELLANOVA Contemporary Cal.King Bed,,3,0,0,0,15,213.4,"91 7/8""L X 79 1/2""W X 65""H",Contemporary,,,,Cal.King,BELLANOVA,CM7979BK.jpg,Black,Contemporary Style,Crocodile-Textured Detail,Padded Leatherette H/B,Felt-lined Top Drawers,Diamond Crusted Bar Pull Handles,Button Tufted Detail,"Solid Wood, Wood Veneer, Others",Available in 2 Colors,,,"Specifically designed to accentuate a glamorous feel, this bedroom collection brings a combination of class and contemporary style to your bedroom. Crocodile embossed veneer and silver lining panels stand out throughout every piece while the button t ufted headboard adds a charming effect. The headboard has built-in LED lights to illuminate the mood. -"
558,CM7979SV-CK-BED,35,Bedroom,Beds,Y,"CM7979SV-CK-HB, CM7979SV-CK-FB, CM7979SV-CK-R",Cal.King Bed,Furniture of America BELLANOVA Contemporary Cal.King Bed,,3,0,0,0,15,213.4,"91 7/8""L X 79 1/2""W X 65""H",Contemporary,,,,Cal.King,BELLANOVA,CM7979SV.jpg,Silver,Contemporary Style,Crocodile-Textured Detail,Padded Leatherette H/B,Felt-lined Top Drawers,Diamond Crusted Bar Pull Handles,Button Tufted Detail,"Solid Wood, Wood Veneer, Others",Available in 2 Colors,,,"Specifically designed to accentuate a glamorous feel, this bedroom collection brings a combination of class and contemporary style to your bedroom. Crocodile embossed veneer and silver lining panels stand out throughout every piece while the button t ufted headboard adds a charming effect. The headboard has built-in LED lights to illuminate the mood. -"
590,CM7297CK-BED,37,Bedroom,Beds,Y,"CM7297CK-HB, CM7297CK-FB, CM7297CK-R",Cal.King Bed,Furniture of America RUTGER Contemporary Cal.King Bed,,3,0,0,0,21.6,149.6,"95 7/8""L X 79 5/8""W X 48""H",Contemporary,,,,Cal.King,RUTGER,CM7297.jpg,"White, Black",Contemporary Style,Two-tone Design,Bookcase Hearboard w/ Lighting,English Dovetails,Recessed Pull Handles,"Solid Wood, Wood Veneer & Others",White & Black,,,,"A bold two tone design accompany by the sleek straight craftsmanship woodwork. This bed is uniquely designed with headboard lighting for maximum convenience, and available in two footboard designs for increased storage. - -"
606,CM7298CK-BED,37,Bedroom,Beds,Y,"CM7298CK-HB, CM7298CK-FB, CM7298CK-R",Cal.King Bed,Furniture of America RUTGER Contemporary Cal.King Bed,,3,0,0,0,32.7,209,"95 7/8""L X 79 5/8""W X 48""H",Contemporary,,,,Cal.King,RUTGER,CM7298.jpg,"White, Black",Contemporary Style,Two-tone Design,Bookcase Hearboard w/ Lighting,English Dovetails,Recessed Pull Handles,"Solid Wood, Wood Veneer & Others",White & Black,,,,"A bold two tone design accompany by the sleek straight craftsmanship woodwork. This bed is uniquely designed with headboard lighting for maximum convenience, and available in two footboard designs for increased storage. - -"
632,CM7290CH-CK-BED,38,Bedroom,Beds,Y,"CM7290CH-CK-HB, CM7290CH-CK-FB, CM7290CH-CK-R",Cal.King Bed,Furniture of America Gerico I Contemporary Cal.King Bed,,3,0,0,0,22.4,188.1,"90 1/2""L X 75 1/2""W X 49""H",Contemporary,,,,Cal.King,Gerico I,CM7290CH.jpg,Brown Cherry,Contemporary Style,Platform Bed,Bookcase H/B w/ Lighting,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,"If reading before bed is a habit, this bed is perfect for you! Not only does it have a bookcase built into the headboard, it also features ambient lighting which may prove handy for bedtime reading. Two finish options are available: dark espresso or  warm brown cherry. -"
644,CM7290EX-CK-BED,38,Bedroom,Beds,Y,"CM7290EX-CK-HB, CM7290EX-CK-FB, CM7290EX-CK-R",Cal.King Bed,Furniture of America Gerico I Contemporary Cal.King Bed,,3,0,0,0,22.4,188.1,"90 1/2""L X 75 1/2""W X 49""H",Contemporary,,,,Cal.King,Gerico I,CM7290EX.jpg,Espresso,Contemporary Style,Platform Bed,Bookcase H/B w/ Lighting,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,"If reading before bed is a habit, this bed is perfect for you! Not only does it have a bookcase built into the headboard, it also features ambient lighting which may prove handy for bedtime reading. Two finish options are available: dark espresso or  warm brown cherry. -"
656,CM7291CH-CK-BED,39,Bedroom,Beds,Y,"CM7291CH-CK-HB, CM7291CH-CK-FB, CM7291CH-CK-R",Cal.King Bed,Furniture of America Gerico II Contemporary Cal.King Bed,,3,0,0,0,34.4,222.8,"89 1/2""L X 75 1/2""W X 49""H",Contemporary,,,,Cal.King,Gerico II,CM7291CH.jpg,Brown Cherry,Contemporary Style,Storage Platform Bed,Bookcase H/B w/ Lighting,2 Drawers in F/B,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,"Sleek and modern, this bedroom set offers a package of features that you will want in your bedroom. It has bookcase headboard with lights for bedtime reading and two extra drawers in the footboad for more storage. As a platform bed, it is mattress-re ady and available in either brown cherry or espresso finish. -"
